track_id,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key,mode,artist_id1,artist_id2,artist_id3,released_month,released_day,song_name,artist_name1,artist_name2,artist_name3
6f5ExP43esnvdKPddwKXJH,2021,4091,0,421040617,105,2,73,13,1,110.0,72.0,67.0,68.0,0.0,0.0,14.0,4.0,,Minor,5H6xmHXjsq98NLbEjuE29f,1BEUkE2CSUgHTLSBMZdnFB,6AgTAQt8XS6jRWi4sX7w49,9,24,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,Mae Muller,Polo G
6h8pvJnOq7vUYCs4XKnBgr,2022,5290,0,286739476,139,73,142,0,5,123.0,60.0,46.0,71.0,3.0,0.0,16.0,4.0,E,Minor,1Cs0zKBU1kc0i8ypK3B9ai,4EPJlUEBy49EX1wuFOvtjK,7nDsS0l5ZAzMedVRKPP8F1,3,18,Crazy What Love Can Do,David Guetta,Becky Hill,Ella Henderson
6i1g5ZRmJZAkDwBaUZ3f2i,2020,1494,2,273914335,17,12,15,0,0,122.0,70.0,46.0,76.0,30.0,0.0,9.0,45.0,,Major,4axKuDPr6WKcDCyh8vueTY,,,12,18,Caile,Luar La L,,
6icN4CVRptOTEXbgKH7EXE,2022,1292,0,101114984,3,18,14,0,0,87.0,49.0,49.0,59.0,44.0,0.0,35.0,21.0,E,Minor,1Xyo4u8uXC1ZmMpatF05PJ,,,1,7,Best Friends,The Weeknd,,
6krYS8KtmNAYyb5uTZiYW4,2022,811,0,53933526,1,8,6,0,0,78.0,27.0,10.0,49.0,62.0,0.0,49.0,5.0,A,Minor,1Xyo4u8uXC1ZmMpatF05PJ,,,1,7,Dawn FM,The Weeknd,,
6kxaaIeowajN7w21PfMLbu,2022,1057,0,91781263,51,14,19,0,0,83.0,63.0,29.0,62.0,4.0,0.0,18.0,4.0,D#,Minor,26VFTg2z8YR0cCuwLzESi2,,,6,9,So Good,Halsey,,
6l8mgVN9Xf1hiDIFGA6CTE,2023,896,0,57089066,34,2,33,0,1,126.0,78.0,20.0,70.0,1.0,0.0,16.0,4.0,C#,Major,6vWDO969PvNqNYHIOW5v0m,2YZyLoL8N0Wb9xBt1NhZWg,,5,19,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,Kendrick Lamar,
6lX6l7OuA3qrnIRfdsr0dw,2021,2780,2,393230256,54,21,57,1,0,90.0,79.0,79.0,70.0,57.0,0.0,66.0,8.0,E,Minor,1TA5sGRlKUJXBN4ZyJuDIX,14zUHaJZo1mnYtn6IBRaRP,1pQWsZQehhS4wavwh7Fnxd,10,27,Medallo,Blessd,Justin Quiles,Lenny Tavárez
6maTPqynTmrkWIralgGaoP,2023,2040,4,165584767,81,27,66,9,444,116.0,90.0,96.0,73.0,62.0,0.0,9.0,4.0,G,Major,311uEW9rt5g2NmzjGEKS2E,,,2,10,If We Ever Broke Up,Mae Stephens,,
6mmPpaltUZK7xjNlBPQQ0p,2021,6821,34,809306935,83,58,128,7,0,90.0,87.0,51.0,69.0,36.0,0.0,9.0,8.0,C#,Minor,1mcTU81TzQhprhouKaTkpq,37230BxxYs9ksS7OkZw3IU,,6,25,Desesperados,Rauw Alejandro,Chencho Corleone,
6n2P81rPk2RTzwnNNgFOdb,2023,324,14,95053634,13,110,8,2,60,122.0,78.0,70.0,81.0,57.0,0.0,10.0,5.0,,Major,12GqGscKJx3aE4t07u7eVZ,,,5,26,Bye,Peso Pluma,,
6ojZtz3sZr6ynvejLOqgCj,2022,896,0,138334433,0,0,2,0,0,92.0,83.0,56.0,82.0,10.0,0.0,9.0,5.0,F#,Major,5Y3MV9DZ0d87NnVm56qSY1,1i8SpTcr7yvPOmcqrbnVXY,,6,2,Nos Comemos (feat. Ozuna),Tiago PZK,Ozuna,
6otePxalBK8AVa20xhZYVQ,2023,1020,35,206399629,15,26,30,6,0,80.0,52.0,57.0,48.0,86.0,0.0,15.0,39.0,,Major,790FomKkXshlbRYZFtlgla,,,2,24,MIENTRAS ME CURO DEL CORA,KAROL G,,
6pD0ufEQq0xdHSsRbg9LBK,2023,2876,40,505671438,41,205,54,12,251,83.0,57.0,56.0,72.0,23.0,0.0,27.0,5.0,F#,Minor,6XkjpgcEsYab502Vr1bBeW,4q3ewBCX7sLwd24euuV69X,,4,17,un x100to,Grupo Frontera,Bad Bunny,
6qgF7oiz11BBipygpNZT2m,1958,8612,0,245350949,120,30,52,0,1,152.0,69.0,94.0,71.0,79.0,0.0,7.0,8.0,G,Minor,293zczrfYafIItmnmM3coR,,,1,1,Run Rudolph Run - Single Version,Chuck Berry,,
6qj02zSeEJGWZ4c0dn5QzJ,2022,1517,0,137070925,26,2,30,0,0,118.0,42.0,32.0,20.0,94.0,0.0,11.0,4.0,,Major,6KImCVD70vtIoJWnq6nGn3,,,5,20,Boyfriends,Harry Styles,,
6qn9YLKt13AGvpq9jfO8py,2011,36843,21,1235005533,321,91,"4,607",1,58,128.0,73.0,60.0,77.0,3.0,0.0,11.0,4.0,C#,Major,5pKCCKE2ajJHZ9KAiaK11H,7CajNmpbOovFoOoasH2HaY,,1,1,We Found Love,Rihanna,Calvin Harris,
6qyS9qBy0mEk3qYaH8mPss,2022,2459,20,448843705,20,68,50,0,22,120.0,71.0,57.0,97.0,1.0,0.0,13.0,11.0,A#,Major,2W6WP4pHQTFlbr2z9S4n54,,,1,21,Murder In My Mind,Kordhell,,
6rdkCkjk6D12xRpdMXy0I2,2023,77,35,29562220,8,166,4,4,34,134.0,81.0,53.0,72.0,51.0,0.0,12.0,5.0,E,Minor,6HvZYsbFfjnjFrWF950C9d,,,7,7,New Jeans,NewJeans,,
6sHpXxCr4ZVnFv0C2VLvZn,2016,15722,16,2420461338,231,37,"1,509",0,13,99.0,40.0,45.0,56.0,69.0,0.0,9.0,5.0,A#,Major,4IWBUUAFIplrNtaOHcJPRM,2WGHW5rueHl3MmTMRl1UkS,,9,9,Say You Won’t Let Go - Acoustic Cover,James Arthur,Kate Nite,
6tsVFchreYTt2OPXSOoFCX,2022,620,0,54937991,17,3,3,0,0,115.0,90.0,74.0,54.0,16.0,0.0,13.0,28.0,F,Minor,2hlmm7s2ICUX0LVIhVFlZQ,5f7VJjfbwm532GiveGC0ZK,,1,7,25k jacket (feat. Lil Baby),Gunna,Lil Baby,
6ug9fUi5oLLgQgOF1G8WkM,2022,991,0,85559365,36,38,13,0,3,162.0,74.0,22.0,67.0,0.0,0.0,11.0,46.0,F,Minor,5f7VJjfbwm532GiveGC0ZK,,,10,14,California Breeze,Lil Baby,,
6unndO70DvZfnXYcYQMyQJ,2023,1730,3,117747907,46,5,51,0,20,98.0,44.0,36.0,41.0,50.0,0.0,38.0,5.0,F,Major,2feDdbD5araYcm6JhFHHw7,,,4,7,Never Felt So Alone,Labrinth,,
6uvh0In7u1Xn4HgxOfAn8O,2022,3218,3,366214458,29,10,79,0,0,114.0,51.0,39.0,29.0,90.0,0.0,10.0,4.0,D,Major,6KImCVD70vtIoJWnq6nGn3,,,5,20,Matilda,Harry Styles,,
6wmKvtSmyTqHNo44OBXVN1,2023,596,0,67070410,29,9,12,0,52,100.0,72.0,42.0,66.0,18.0,4.0,19.0,4.0,A,Major,63yrD80RY3RNEM2YDpUpO8,,,3,29,VOID,Melanie Martinez,,
6ws54n2IzyrIxxyzlG2bVJ,2022,1116,0,101780047,31,9,15,0,1,166.0,70.0,22.0,61.0,2.0,0.0,10.0,34.0,D,Major,5f7VJjfbwm532GiveGC0ZK,,,4,8,Right On,Lil Baby,,
6wtZPYBIXUvCpXwVjMCJBf,2022,2341,0,307752576,48,4,38,2,0,110.0,85.5,42.5,83.5,15.5,0.0,8.5,14.5,C#,Major,768O5GliF0bqscyghggrbE,2LRoIwlKmHjgvigdNGBHNo,4yxLYO2imECxGYTTV7RQKb,2,14,ULTRA SOLO REMIX,Polimá Westcoast,Feid,Pailita
6xGruZOHLs39ZbVccQTuPZ,2022,6330,6,988515741,109,42,158,3,31,170.0,44.0,27.0,32.0,89.0,0.0,14.0,5.0,G#,Major,3MZsBdqDrRTJihTHQrO6Dq,,,6,10,Glimpse of Us,Joji,,
6y8z28epOv5FlaxDv1Lo5B,2021,2844,2,394030335,29,2,35,1,0,180.0,80.0,71.0,68.0,6.0,0.0,10.0,37.0,A#,Minor,7j6DKwmjbxvpQO8h914uEz,,,4,30,Jordan,Ryan Castro,,
6ylDpki1VpIsc525KC1ojF,2021,3047,9,510876816,77,31,85,5,28,123.0,75.0,93.0,86.0,8.0,0.0,14.0,3.0,B,Minor,07YUOmWljBTXwIseAUd9TW,,,10,22,Tacones Rojos,Sebastian Yatra,,
6zSpb8dQRaw0M1dK8PBwQz,2017,21097,52,1605224506,384,135,"1,034",37,312,116.0,80.0,92.0,80.0,4.0,0.0,10.0,3.0,C#,Major,3PhoLpVuITZKcymswpck5b,6M2wZ9GZgrQXHCFfjv46we,6n28c9qs9hNGriNa72b26u,11,10,Cold Heart - PNAU Remix,Elton John,Dua Lipa,PNAU
6zzdyvVWjGrQBraSvuqJPY,2022,1014,0,74601456,1,17,11,0,0,86.0,28.0,13.0,41.0,50.0,0.0,19.0,3.0,A,Minor,1Xyo4u8uXC1ZmMpatF05PJ,,,1,7,Starry Eyes,The Weeknd,,
705dwKmZCd7ImAUyyD6Mpm,2022,918,0,75476209,24,0,52,0,0,180.0,63.0,45.0,64.0,34.0,0.0,9.0,8.0,G,Minor,4nDoRrQiYLoBzwC5BhVJzF,3rWZHrfrsPBxVy692yAIxF,,4,7,psychofreak (feat. WILLOW),Camila Cabello,WILLOW,
